Concept1,Concept2,PathLength,LikertScore,r1_t1_AtoB,r1_t1_BtoA,r1_t10_AtoB,r1_t10_BtoA,r1_t100_AtoB,r1_t100_BtoA,r5_t1_AtoB,r5_t1_BtoA,r5_t10_AtoB,r5_t10_BtoA,r5_t100_AtoB,r5_t100_BtoA,r9_t1_AtoB,r9_t1_BtoA,r9_t10_AtoB,r9_t10_BtoA,r9_t100_AtoB,r9_t100_BtoA
variety,educator,2,1,0.08770835652963327,0.0,0.079700263386705,1.117549426004669,0.0,1.1140097703481593,0.1108083191500178,0.0,0.30191106890116887,0.9093000384435067,0.29193960484646264,0.8755395902014459,0.006596551752993196,0.0,0.18131950142038722,0.282501696993803,0.4176423049045905,0.7426989702077954
domesticated,transportation,3,2,0.2605227749813248,0.0,0.9290567498984901,0.7039611426709402,0.93516551617096,0.0,0.05062237783075128,0.0,0.6155816398144726,0.43233684791118204,0.8026664298834063,0.5837380816231967,0.00046991201332335073,0.0,0.054025181035333256,0.030298196720399875,0.6594683789455487,0.45916193001351746
software,goal,3,2,0.0,0.0,0.3595498710440679,0.37806307744215567,0.3581362706125586,0.3778129141781231,0.0,0.0,0.4266166342872087,0.4672228684538152,0.4378165964320966,0.510519639339711,0.0,0.0,0.035623674136583364,0.04073963271537269,0.48819432861991546,0.5912293317174522
loyal,mentor,4,2,0.00359833501542962,0.0,0.1596174894315876,0.21746417119404968,0.15922550313263978,0.0,0.0005635335677807176,0.0,0.23368156977862958,0.14852469077968222,0.29193721595986355,0.21891455442304802,1.038152414153767e-06,0.0,0.005567924769860074,0.0021344647499395267,0.3471637657674991,0.2049042629255576
commuting,shock,3,1,0.05599876303930124,0.0,0.24111033120383996,0.3630697729497672,0.0,0.0,0.005224676953718619,0.0,0.32679594465203277,0.49504488695575644,0.2918544911861027,0.43781138020816013,8.190555485849665e-06,0.0,0.029572981844830766,0.04315418666133213,0.3421078881871592,0.5136999710953122
pie,transportation,3,1,0.008293012237762238,0.0,0.8935334686337693,0.12655915471925883,0.93516551617096,0.12924312330119292,0.00042795745920745924,0.0,0.47337038526543523,0.1118297439229427,0.8026663602597457,0.1823511689889626,1.334498834498833e-07,0.0,0.011193681223021222,0.002828892542923541,0.6145559905807871,0.1813559341893095
lyrics,dessert,3,1,0.0,0.0,0.1424545710414316,0.3141668660087665,0.13919960988204905,0.0,0.0,0.0,0.24441793293443725,0.29106096758298283,0.21883145239418827,0.2552819985022898,0.0,0.0,0.0150778245182402,0.010799831548634078,0.2921427242209066,0.24804261693682764
memory,practice,3,4,0.04773139516483517,0.0,0.6614846272142659,0.3180131684748282,0.6664771566175163,0.0,0.004285714285714285,0.0,0.5931234774651233,0.2549890343810106,0.6929989665781625,0.29185034056711345,6.4603663003662945e-06,0.0,0.040110118595432454,0.017229137911025212,0.6958800391494405,0.2718995525193732
pet,wooden,4,1,0.008613996165585697,0.0,0.02992087712976993,0.6183511785796911,0.0,0.0,0.003688589857117651,0.0,0.10284803411498963,0.42605778198392663,0.10947043519397723,0.5107549406645719,9.70951123882377e-06,0.0,0.004934570336955321,0.006863091604579834,0.15570995354759012,0.44914623210214344
productivity tool,display,3,2,0.041866319251205854,0.0,0.12935572339474097,0.6095566957348073,0.12936200257806452,0.6058761430143628,0.013691621787602585,0.0,0.16620807303208163,0.44932385365816263,0.1824468301837272,0.4738966639049824,0.0001477055054071453,0.0,0.01719611244921582,0.02121107538758394,0.2125645430846421,0.397926062139153
computer,improvement,2,3,0.029787686906096955,0.0,0.10051030126610083,1.6718392567747453,0.0,1.6611317933819376,0.03585334894757738,0.0,0.3789742326940937,1.451188050918988,0.36619640317412233,1.4227669237672502,0.0020606437995371245,0.0,0.09344773928633283,0.206684752208254,0.5322123766359439,1.318271606215642
variety,taste,2,5,0.06948363339181413,0.0,0.2686987027476645,1.1275178779249748,0.2684901344713746,1.1140097703481586,0.06277485682315968,0.0,0.378762836565774,0.8533762456359903,0.40121973577335307,0.8755396068964073,0.003495918319443593,0.0,0.10337632783702248,0.13883765669590473,0.4840939243610418,0.7488626009143275
competition,lifestyle,2,2,0.15984405167488216,0.005207142857142859,0.629024700614621,1.0945747328592657,0.626757066670693,1.0940718291110862,0.02586392677441682,0.0002755731922398589,0.5561457890314282,1.1062508348646305,0.5472716107037077,1.094423188388005,0.00019675976260085027,8.818342151675473e-08,0.09575429563013375,0.2020401650371482,0.5074801472963615,1.1076929761279704
fruit,sport,2,1,0.5509259694883248,0.5270908258928573,0.6307774056622591,1.531723523913015,0.6265914286654988,1.55013676769679,0.1456257959763341,0.15185470326891043,0.8113551113656059,1.1713912377700844,0.8390851891466669,1.3126859196491005,0.004962532471291961,0.005657411724720749,0.23455827861221235,0.27228152943527606,0.9409664003373571,1.1436564385753434
four-legged,frustration,4,1,0.0,0.0,0.13830743379848937,0.12901098548738735,0.13926317941655994,0.0,0.0,0.0,0.16911276395183733,0.1285410171502231,0.2188915484164331,0.18243040855593418,0.0,0.0,0.005094392589467937,0.002376609174861248,0.25023284180515815,0.2011600319879013
game,input,2,4,0.48097918900883097,0.9415309397715272,0.8283084413184343,1.6255728701546504,0.0,0.0,0.12076197947644987,0.22776391539817917,0.7563044414767324,1.3710582842442747,0.6931446600208078,1.276830768580973,0.003948563502429068,0.0069761933820120395,0.21792484664916084,0.37882836769034106,0.637347425562804,1.112895711031843
transport,rules,3,2,0.005201134615384615,0.046980834672557474,0.47669381747063183,0.7128361892612207,0.0,0.0,0.0004886606449106449,0.007226319491213075,0.5205851915414796,0.5215377495499405,0.5837160430719898,0.5836788474023403,7.771950271950266e-07,5.286135688127796e-05,0.04260737205504738,0.0339460443148446,0.6303561749471279,0.49500574585389107
carnivore,cycling,4,1,0.10509021876343794,0.0,0.35749095076314974,0.20791587335028033,0.0,0.0,0.011108692878921056,0.0,0.37739636547280714,0.14621157711268468,0.43776034323924035,0.18241059354630867,1.9552063992162896e-05,0.0,0.01275510713537832,0.002653559772108746,0.46922075702252863,0.16173947140664002
six-wheel,apprehension,4,1,0.0,0.0,0.058378503735953546,0.019296247683235623,0.0,0.0,0.0,0.0,0.12067422059946784,0.0351377306533039,0.21905573305633577,0.07295778015680568,0.0,0.0,0.0011501861457134273,0.0003188379537852969,0.26272415873905275,0.08715723011302814
pet,time,3,1,0.1890159587731676,0.0,0.9255885453567905,0.6160618032075024,0.9317990717203388,0.6167310602932412,0.030078303213847635,0.0,0.6467185026025742,0.3737845061046477,0.8336105535908124,0.5107549497531141,0.0002223400977447241,0.0,0.030719224646399968,0.012841785684172484,0.7241279147031457,0.4187966655269355
advancement,seat,3,1,0.040620853078167804,0.0,0.15968796019635828,0.8162519176754902,0.15921741819496368,0.8164591247511399,0.013444253555365326,0.0,0.2633389335691487,0.5561401850318397,0.29191963162966683,0.657017676531688,0.00014613568314860388,0.0,0.019686556590898973,0.020075935068233915,0.36399240131240723,0.5563835263481489
fur,education,4,1,0.017465937706035307,0.0,0.14899449302367082,0.3056479119036606,0.0,0.0,0.0029822935750103492,0.0,0.19240501903730928,0.15740734489520716,0.2555565456974702,0.2553778207932278,6.080369891951672e-06,0.0,0.004103306615635057,0.0014446007172581286,0.2923172155045676,0.20586778917997153
output,apprehension,1,1,2.25,15.000000000000002,0.06055168698212299,0.2243038442665852,0.0,0.0,6.249999999999999,8.333333333333334,0.6711395424400439,0.808965613140689,0.2190557354621932,0.21896450449674976,2.2499999999999996,1.6666666666666665,9.057999524192313,6.69937887824687,0.41049989814547616,0.29230101958333776
affection,education,3,2,0.0,0.06903409090909092,0.14972297369238702,0.33546053376386975,0.0,0.3381556776449155,0.0,0.011837121212121214,0.2422463564203022,0.31127462090512836,0.2555565451905053,0.36480349248888144,0.0,9.469696969696963e-05,0.02402424490084442,0.028278831466591603,0.3098981030207418,0.3702198189128367
tree,nervousness,3,1,0.016617638520331168,0.0,0.14671866586025453,0.5387317193795964,0.0,0.5468299499918866,0.009440151001260314,0.0,0.21396355219293398,0.4596554034291745,0.25534904207770254,0.5471180131003156,0.00012658388441987522,0.0,0.027088867077114945,0.03640128749550687,0.3023307506072278,0.5223822456898549
